"CEE","200001","200004","200007","200010","200101","200104","200107","200110","200201","200204","200207","200210","200301","200304","200307","200310","200401","200404","200407","200410","200501","200504","200507","200510","200601","200604","200607","200610","200701","200704","200707","200710","200801","200804","200807","200810","200901","200904","200907","200910","201001","201004","201007","201010","201101","201104","201107","201110","201201","201204","201207","201210","201301"
"Bulgaria",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.9,2.9,2.9,2.9,2.9,2.9,3.9,3.9,3.5,3.5,4,4,4,5,5,5,5,5,4.5,4.5,2.75,2.75,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"Croatia",3.44,3.44,3.25,2.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,10.57,10.57,10.57,10.57,7.57,7.57,11.77,11.64,12.46,14.21,14.21,14.96,16.71,17.01,18.01,19.51,22.51,22.51,22.51,22.51,22.51,22.24,22.24,14.99,13.59,13.59,13.59,10.59,10.46,10.46,10.46,10.46,10.23,10.23,10.36,10.36,10.48,10.3,10.3,10.3,10.3
"Czechia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estonia",2,2,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,0,0,0,0,0,0,0,0,0,0
"Hungary",2.25,2.25,2.25,2.25,1.25,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.75,1.75,1,1,1,1,1,1,4.1,4.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2
"Latvia",1.25,1.25,1.25,1,1,1,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.1,4.1,4.1,4.1,4.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.1,3.1,3.1,3.1,3.1
"Lithuania",3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.9,3.9,3.9,3.9,3.9,3.9,3.65
"Poland",0,0,0,0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,0.85,0.85,0.85,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
"Romania",5.75,5.75,5.75,5.75,6.75,6.75,6.38,6.13,6.13,6,6,5.88,5.88,5.88,5.88,7.38,7.98,7.98,8.6,8.6,8.6,8.6,10.55,10.55,11.18,11.8,12.3,12.3,12.3,12.3,12.3,12.3,14.3,14.3,14.3,14.05,14.05,12.43,12.43,11.8,11.8,11.8,11.8,11.8,11.9,11.28,11.28,11.28,10.28,10.28,10.28,10.28,10.28
"Slovakia",2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,1.9,1.9,1.9,1.9,2.65,2.65,2.65,2.65,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.4,3.4,3.4,3.4,3.15
"Slovenia",1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.25,1.25,0.63,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
